InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
543162,82578,KITCHEN METAL SIGN,25,2/3/2011 18:08,0.55,17507,United Kingdom
543805,21382,SET/4 SPRING FLOWER DECORATION,4,2/13/2011 12:41,2.95,17050,United Kingdom
556829,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,6/15/2011 10:51,1.25,12809,Portugal
551998,85150,LADIES & GENTLEMEN METAL SIGN,12,5/5/2011 15:48,2.55,14099,United Kingdom
540824,22423,REGENCY CAKESTAND 3 TIER,1,1/11/2011 13:31,12.75,12728,France
553389,20716,PARTY FOOD SHOPPER BAG,1,5/16/2011 16:37,0.83,,United Kingdom
540095,22196,SMALL HEART MEASURING SPOONS,3,1/4/2011 15:40,0.85,14553,United Kingdom
544803,22475,SKULL DESIGN TV DINNER TRAY,1,2/23/2011 14:29,4.95,14606,United Kingdom
539408,22723,SET OF 6 HERB TINS SKETCHBOOK,4,12/17/2010 12:56,3.95,12720,Germany
551277,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,4/27/2011 13:06,2.95,13637,United Kingdom
544788,21114,LAVENDER SCENTED FABRIC HEART,10,2/23/2011 12:18,1.25,13089,United Kingdom
536846,22442,GROW YOUR OWN FLOWERS SET OF 3,1,12/2/2010 19:59,7.95,14573,United Kingdom
558121,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,6/27/2011 9:34,9.95,13453,United Kingdom
558120,22697,GREEN REGENCY TEACUP AND SAUCER,2,6/27/2011 9:12,5.79,,United Kingdom
537197,22962,JAM JAR WITH PINK LID,12,12/5/2010 14:02,0.85,12647,Germany
544110,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2/16/2011 11:03,12.75,15059,United Kingdom
547910,21397,BLUE POLKADOT EGG CUP ,6,3/28/2011 12:23,0.39,14159,United Kingdom
551564,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,5/3/2011 10:56,6.35,16609,United Kingdom
538078,21535,RED RETROSPOT SMALL MILK JUG,2,12/9/2010 14:25,2.55,16255,United Kingdom
540848,79144C,PAINTED LIGHTBULB RAINBOW DESIGN,1,1/12/2011 9:26,0.84,,United Kingdom
C548972,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,-48,4/5/2011 11:42,0.29,15674,United Kingdom
557389,47504K,ENGLISH ROSE GARDEN SECATEURS,1,6/20/2011 11:03,1.95,15921,United Kingdom
546028,23181,BULL DOG BOTTLE TOP WALL CLOCK,2,3/9/2011 8:33,8.25,17049,United Kingdom
544795,21497,FANCY FONTS BIRTHDAY WRAP,25,2/23/2011 13:21,0.42,15858,United Kingdom
550542,22270,HAPPY EASTER HANGING DECORATION,1,4/19/2011 11:37,7.46,,United Kingdom
537385,22195,LARGE HEART MEASURING SPOONS,1,12/6/2010 13:22,1.65,14487,United Kingdom
546089,23176,ABC TREASURE BOOK BOX ,6,3/9/2011 11:44,2.25,17864,United Kingdom
541592,21849,SILVER DIAMANTE PEN IN GIFT BOX,1,1/19/2011 15:08,1.63,,United Kingdom
536412,22751,FELTCRAFT PRINCESS OLIVIA DOLL,2,12/1/2010 11:49,3.75,17920,United Kingdom
558608,21948,SET OF 6 CAKE CHOPSTICKS,36,6/30/2011 15:30,1.25,12524,Germany
555808,22224,WHITE LOVEBIRD LANTERN,6,6/7/2011 11:39,2.95,14867,United Kingdom
543162,82580,BATHROOM METAL SIGN,25,2/3/2011 18:08,0.55,17507,United Kingdom
547789,22439,6 ROCKET BALLOONS ,24,3/25/2011 12:04,0.65,14911,EIRE
C547852,22045,SPACEBOY GIFT WRAP,-25,3/27/2011 12:11,0.42,15065,United Kingdom
545471,21164,HOME SWEET HOME METAL SIGN ,6,3/3/2011 10:34,2.95,15087,United Kingdom
552520,23207,LUNCH BAG ALPHABET DESIGN,2,5/9/2011 16:34,4.13,,United Kingdom
541703,21371,MIRRORED WALL ART POPPIES,12,1/21/2011 9:52,2.55,12594,Italy
543040,21162,TOXIC AREA  DOOR HANGER ,2,2/2/2011 17:06,1.45,17337,United Kingdom
550350,22335,HEART DECORATION PAINTED ZINC ,24,4/18/2011 10:04,0.65,15491,United Kingdom
548516,22602,RETROSPOT WOODEN HEART DECORATION,2,3/31/2011 16:28,1.63,,United Kingdom
539647,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,12/20/2010 16:08,6.75,15460,United Kingdom
553834,22423,REGENCY CAKESTAND 3 TIER,32,5/19/2011 11:47,10.95,15189,United Kingdom
541631,22973,CHILDREN'S CIRCUS PARADE MUG,12,1/20/2011 10:47,1.65,12637,France
544789,22960,JAM MAKING SET WITH JARS,6,2/23/2011 12:25,4.25,13993,United Kingdom
